"자치구별(1)",자치구별(2),행정구역면적 (㎢),행정구역면적 (㎢),행정구역면적 (㎢),행정구역면적 (㎢),시가화면적 현황,시가화면적 현황,시가화면적 현황,시가화면적 현황,시가화면적 현황,시가화면적 현황,시가화면적 현황,시가화면적 현황
"자치구별(1)",자치구별(2),소계,소계,소계,소계,시가화면적 (㎢),시가화면적 (㎢),시가화면적 (㎢),시가화면적 (㎢),시가화면적비율 (%),시가화면적비율 (%),시가화면적비율 (%),시가화면적비율 (%)
"자치구별(1)",자치구별(2),2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,2019
"서울시",소계,605.20,605.24,605.24,605.24,371.20,371.20,371.50,371.54,61.34,61.33,61.38,61.39
"서울시",종로구,23.91,23.91,23.91,23.91,12.77,12.77,12.77,12.77,53.39,53.39,53.39,53.39
"서울시",중구,9.96,9.96,9.96,9.96,9.95,9.95,9.95,9.95,99.88,99.89,99.89,99.89
"서울시",용산구,21.87,21.87,21.87,21.87,13.37,13.37,13.37,13.37,61.14,61.14,61.14,61.14
"서울시",성동구,16.86,16.86,16.86,16.86,12.47,12.47,12.47,12.47,73.97,73.99,73.98,73.98
"서울시",광진구,17.06,17.06,17.06,17.06,11.80,11.80,11.80,11.80,69.16,69.16,69.16,69.16
"서울시",동대문구,14.22,14.22,14.22,14.22,13.86,13.86,13.86,13.86,97.52,97.52,97.52,97.52
"서울시",중랑구,18.50,18.50,18.50,18.50,11.18,11.18,11.18,11.18,60.44,60.44,60.44,60.44
"서울시",성북구,24.58,24.57,24.57,24.57,18.19,18.19,18.19,18.23,74.00,74.02,74.02,74.17
"서울시",강북구,23.60,23.60,23.60,23.60,11.26,11.26,11.26,11.25,47.70,47.69,47.69,47.67
"서울시",도봉구,20.67,20.67,20.67,20.66,9.84,9.84,9.84,9.84,47.60,47.60,47.60,47.61
"서울시",노원구,35.44,35.44,35.44,35.44,14.57,14.57,14.57,14.57,41.11,41.11,41.11,41.11
"서울시",은평구,29.70,29.71,29.71,29.71,15.89,15.89,15.89,15.89,53.49,53.48,53.48,53.47
"서울시",서대문구,17.61,17.63,17.62,17.63,15.72,15.72,15.72,15.72,89.29,89.20,89.21,89.20
"서울시",마포구,23.84,23.85,23.85,23.85,14.33,14.33,14.33,14.33,60.11,60.09,60.09,60.09
"서울시",양천구,17.41,17.41,17.41,17.41,13.43,13.43,13.43,13.43,77.13,77.13,77.13,77.14
"서울시",강서구,41.44,41.44,41.44,41.44,18.96,18.96,18.96,18.96,45.76,45.76,45.76,45.76
"서울시",구로구,20.12,20.12,20.12,20.12,14.98,14.98,14.98,14.98,74.45,74.45,74.45,74.45
"서울시",금천구,13.02,13.02,13.02,13.02,10.12,10.12,10.12,10.12,77.71,77.70,77.70,77.70
"서울시",영등포구,24.53,24.55,24.55,24.55,15.65,15.65,15.65,15.65,63.78,63.74,63.74,63.74
"서울시",동작구,16.35,16.35,16.35,16.35,14.14,14.14,14.14,14.14,86.43,86.43,86.43,86.44
"서울시",관악구,29.57,29.57,29.57,29.57,15.72,15.72,15.72,15.72,53.16,53.16,53.16,53.16
"서울시",서초구,46.98,46.99,46.98,46.98,20.21,20.21,20.21,20.21,43.01,43.01,43.01,43.01
"서울시",강남구,39.50,39.50,39.50,39.50,25.87,25.87,26.17,26.17,65.48,65.48,66.26,66.26
"서울시",송파구,33.88,33.87,33.87,33.87,23.30,23.30,23.30,23.30,68.78,68.78,68.79,68.79
"서울시",강동구,24.59,24.59,24.59,24.59,13.65,13.65,13.65,13.65,55.50,55.50,55.49,55.49
